-0.9627	1.4850	0.1044	0.8597
ANG0	1151019	200	-0.3242	0.2848	0.3644	0.1183
OBJ0	1151019	1000	-0.9628	1.4852	0.1046	0.8598
ANG0	1151053	200	-0.3241	0.2846	0.3644	0.1181
OBJ0	1151053	1000	-0.9628	1.4850	0.1046	0.8599
ANG0	1151086	200	-0.3242	0.2846	0.3646	0.1183
OBJ0	1151086	1000	-0.9629	1.4851	0.1045	0.8597
ANG0	1151119	200	-0.3241	0.2846	0.3644	0.1183
OBJ0	1151119	1000	-0.9627	1.4850	0.1044	0.8597
ANG0	1151153	200	-0.3241	0.2848	0.3644	0.1183
OBJ0	1151153	1000	ANG0	1167686	200	-0.3242	0.2846	0.3644	0.1183
OBJ0	1167686	1000	-0.9629	1.4851	0.1047	0.8596
ANG0	1167719	200	-0.3242	0.2845	0.3643	0.1183
OBJ0	1167719	1000	-0.9628	1.4850	0.1050	0.8594
ANG0	1167753	200	-0.3241	0.2846	0.3646	0.1183
OBJ0	1167753	1000	-0.9628	1.4850	0.1043	0.8597
ANG0	1167786	200	-0.3241	0.2846	0.3644	0.1183
OBJ0	1167786	1000	-0.9627	1.4850	0.1044	0.8597
ANG0	1167819	200	-0.3242	0.2846	0.3644	0.1183
OBJ0	1167819	1000	-0.9629	1.4851	0.1047	0.8596
ANG0	1167853	200	-0.3241	0.2846	0.3644	0.1181
OBJ0	1167853	1000	-0.9628	1.4850	0.1046	0.8599
ANG0	1167886	200	-0.3241	0.2846	0.3646	0.1183
OBJ0	1167886	1000	-0.9628	1.4850	0.1043	0.8597
ANG0	1167919	200	-0.3241	0.2848	0.3646	0.1183
OBJ0	1167919	1000	-0.9628	1.4851	0.1042	0.8600
ANG0	1167953	200	-0.3241	0.2848	0.3644	0.1183
OBJ0	1167953	1000	-0.9627	1.4851	0.1044	0.8599
ANG0	1167986	200	-0.3242	0.2846	0.3644	0.1183
OBJ0	1167986	1000	-0.9629	1.4851	0.1047	0.8596
ANG0	1168019	200	-0.3241	0.2846	0.3646	0.1183
OBJ0	1168019	1000	-0.9628	1.4850	0.1043	0.8597
ANG0	1168053	200	-0.3242	0.2846	0.3644	0.1183
OBJ0	1168053	1000	-0.9629	1.4851	0.1047	0.8596
ANG0	1168086	200	-0.3241	0.2846	0.3644	0.1183
OBJ0	1168086	1000	-0.9627	1.4850	0.1044	0.8597
ANG0	1168119	200	-0.3242	0.2848	0.3643	0.1183
OBJ0	1168119	1000	-0.9627	1.4852	0.1048	0.8598
ANG0	1168153	200	-0.3242	0.2848	0.3644	0.1183
OBJ0	1168153	1000	-0.9628	1.4852	0.1046	0.8598
ANG0	1168186	200	-0.3241	0.2848	0.3646	0.1183
OBJ0	1168186	1000	-0.9628	1.4851	0.1042	0.8600
ANG0	1168219	200	-0.3242	0.2846	0.3646	0.1183
OBJ0	1168219	1000	-0.9629	1.4851	0.1045	0.8597
ANG0	1168253	200	-0.3241	0.2846	0.3646	0.1183
OBJ0	1168253	1000	-0.9628	1.4850	0.1043	0.8597
ANG0	1168286	200	-0.3242	0.2848	0.3646	0.1183
OBJ0	1168286	1000	-0.9629	1.4852	0.1044	0.8599
ANG0	1168319	200	-0.3241	0.2846	0.3644	0.1181
OBJ0	1168319	1000	-0.9628	1.4850	0.1046	0.8599
ANG0	1168353	200	-0.3241	0.2846	0.3646	0.1183
OBJ0	1168353	1000	-0.9628	1.4850	0.1043	0.8597
ANG0	1168386	200	-0.3241	0.2846	0.3646	0.1181
